year,genre,popularity,duration_ms,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
2005,pop,58.96875,232675.625,0.63990625,0.66490625,-6.21640625,0.067553125,0.21360218749999998,0.0281734734375,0.12181875,0.51159375,122.7415
2006,pop,53.644444444444446,239259.77777777778,0.6793111111111111,0.6862888888888888,-5.482577777777778,0.10169555555555555,0.15865496,0.0010871195555555554,0.1863288888888889,0.5944444444444444,118.56331111111112
2007,pop,56.05714285714286,224730.22857142857,0.6264285714285714,0.7832,-4.581828571428572,0.08332285714285714,0.12472734857142857,0.001361492857142857,0.16037714285714286,0.5732657142857143,126.14394285714287
2008,pop,61.361702127659576,226528.59574468085,0.6709787234042554,0.7667872340425532,-4.856085106382978,0.06908510638297873,0.09816503191489362,0.018425896808510638,0.16014255319148937,0.5896574468085106,123.44785106382979
2009,pop,62.7027027027027,230329.02702702704,0.5952432432432433,0.786,-4.821486486486487,0.06784054054054053,0.11562075675675675,0.0009714575675675675,0.19827567567567567,0.5984378378378378,125.89635135135136
2010,pop,60.29545454545455,214785.95454545456,0.6707954545454545,0.7801363636363636,-4.767545454545455,0.069975,0.09748605454545455,0.01711771318181818,0.18220454545454545,0.5686227272727273,122.52663636363637
2011,pop,52.114285714285714,228090.3142857143,0.6197999999999999,0.7071714285714286,-5.473314285714285,0.045688571428571426,0.1886055142857143,0.043385718000000004,0.15427714285714286,0.48687428571428576,119.69394285714287
2012,pop,58.721311475409834,222910.09836065574,0.620311475409836,0.752967213114754,-4.866704918032786,0.06174918032786886,0.09106213114754098,0.016309478524590165,0.18438032786885244,0.5751032786885246,119.46001639344261
2013,pop,52.03703703703704,231194.59259259258,0.5963518518518519,0.7101462962962963,-5.87037037037037,0.06210740740740741,0.10900992592592594,0.012394880925925925,0.19732592592592593,0.46165185185185187,126.04222222222222
2014,pop,60.01538461538462,218067.29230769232,0.6388153846153847,0.7338307692307692,-5.4296461538461545,0.06187538461538461,0.11814741538461539,0.013458302153846155,0.1740846153846154,0.49603076923076916,119.30298461538462
2015,pop,53.094339622641506,219086.84905660377,0.6330377358490566,0.7042641509433962,-5.619037735849056,0.07529433962264151,0.1501467924528302,0.022316410566037736,0.15861698113207548,0.4903603773584906,122.15343396226415
2016,pop,50.64,217547.06,0.65986,0.7051999999999999,-5.49886,0.093432,0.161005,0.0006831647999999999,0.1638,0.501404,121.58051999999999
2017,pop,52.1578947368421,208701.38596491228,0.6555438596491228,0.707561403508772,-5.247350877192982,0.08098771929824561,0.13906756140350876,0.002586158771929824,0.16072280701754388,0.48470877192982453,116.45280701754386
2018,pop,69.0952380952381,204080.2380952381,0.6726666666666666,0.6668571428571428,-5.629761904761905,0.07858809523809523,0.22731119047619047,0.013695723095238097,0.17695714285714287,0.4763095238095238,114.87283333333332
2019,pop,58.95348837209303,196297.88372093023,0.6895813953488372,0.6599302325581395,-5.871674418604651,0.12897906976744186,0.22078511627906977,0.007019054418604652,0.17695348837209302,0.5786976744186046,130.20206976744186
2020,pop,39.0,214440.0,0.527,0.834,-5.767,0.0474,0.0411,0.00599,0.105,0.381,179.92
